,Reviews,Labels
55,"AMD's six-core FX chip now includes an excellent OC-capable cooler, and in some tests, it outpaces Intel's similarly priced ""Skylake"" Core i3. But an old architecture and platform make it a better fit for upgraders than system scratch-builders.",
56,"AMD's top APU gives you good performance in the $150 price range. It's great for small form factor (SFF) PC builds, but dedicated graphics will still give you better value.",
57,"The AMD A10-7860K is a balanced processor in terms of price, performance, power usage, and gaming capabilities. It's a good choice if you're upgrading a FM2+ DIY PC.",
58,"The AMD Athlon X4 880K is a capable processor at an affordable, sub-$100 price ideal for gamers building on a budget.",
59,"The AMD Athlon 5350 is a budget processor for PC geeks who prefer to build their own desktops. It's middle-of-the-road in terms of features and performance, but its low price is the main lure.",
60,"The AMD FX-9590 is an eight-core, overclock-ready processor that offers some of the best performance available, provided you have the requisite hardware.",
61,"The AMD FX-8370E processor emphasizes efficiency, with low power consumption and reasonable performance.",
62,"AMD's FX-8370 desktop CPU bumps up its top clock speed a tick, offering slightly better performance than the now-aging FX-8350 in some instances. It's a decent option for those with an AMD AM3+ system to upgrade, but the FX-8350 remains, arguably, a better value.",
63,"The A10-7800, AMD's latest CPU/GPU, can't be overclocked, but paired with fast RAM, it can handle 1080p gaming quite well, and it can run in a lower-power mode without a huge hit to performance.",
64,The AMD A10-7850 APU's great graphics performance and new computer features are partially undercut by the CPU performance.,
65,The new AMD A8-7600 offers best-in-class GPU performance and much-improved CPU performance in the 45W power envelope. Future support for HSA applications and the Mantle graphics API should further improve the chip's performance.,
66,"AMD's A10-6700 isn't quite the fastest of AMD's APUs available, but it's very close, while being easier to cool and likely saving some power in the long run. For budget PC builders, this chip is a smart choice.",
67,"AMD's Richland APUs boost clock speeds and refine power consumption. In particular, the AMD A10-6800K is a decent, low-cost alternative to Intel's Core i3/i5 products.",
68,"At just over $100, this four-core AMD processor is a good fit for budget PC builders and upgraders who don't often edit large videos or do other time-consuming, CPU-heavy tasks. Note, though: It's power-hungry for the performance it delivers.",
